Year,Minority,Major,Programming,Programming_Scale,Statistics,Letter_Grade,Requirement,Birthday,Extrovert,People_Texted,Hours_of_Sleep,Handedness,Sleep_Position,Pets,Piercings,Languages
First Year,No,Applied Math,TRUE,3,TRUE,Yes,Yes,1/27,5,1,8,Right-handed,On your back,TRUE,2,4
Second Year,Yes,Economics,FALSE,4,FALSE,Yes,Yes,3/3,8,20,6,Right-handed,On your right side,FALSE,2,7
First Year,No,Economics,FALSE,5,TRUE,Yes,No,10/20,10,10,6,Left-handed,On your back,TRUE,0,4
Third Year,No,Undecided,FALSE,3,FALSE,Yes,Yes,1/20,6,3,7,Right-handed,On your left side,TRUE,1,2
Second Year,I don't know,EECS,FALSE,5,FALSE,Yes,Yes,9/27,6,10,8,Right-handed,On your right side,FALSE,2,2
First Year,No,"Business, IEOR",FALSE,3,FALSE,Yes,Yes,5/11,8,5,8,Right-handed,On your back,TRUE,0,2
Third Year,No,Computer Science,FALSE,4,FALSE,Yes,Yes,4/20,7,5,7,Right-handed,On your right side,TRUE,0,5
First Year,Yes,Public Health,FALSE,3,TRUE,Yes,Yes,11/4,8,7,7,Right-handed,On your right side,TRUE,2,3
First Year,No,Environmental Science,TRUE,1,FALSE,Yes,Yes,3/15,6,4,8,Right-handed,On your right side,FALSE,8,3
Third Year,No,"Applied Math, Data Science, EECS",FALSE,5,FALSE,Yes,Yes,2/15,6,3,7,Right-handed,On your right side,TRUE,0,3
Second Year,No,Civil Engineering,FALSE,2,FALSE,Yes,Yes,12/9,5,3,8.5,Right-handed,On your left side,TRUE,0,2
Fourth Year,No,"Computer Science, Data Science",FALSE,5,FALSE,Yes,Yes,6/27,5,4,6,Right-handed,On your back,FALSE,0,3
First Year,I don't know,BioE ,TRUE,1,TRUE,Yes,Yes,10/3,8,3,6,Left-handed,On your right side,FALSE,11,10
First Year,I don't know,Cognitive Science,FALSE,2,TRUE,Yes,Yes,1/11,6,3,8,Right-handed,On your back,TRUE,0,2
First Year,No,"Data Science, chemical biology",FALSE,3,FALSE,Yes,Yes,8/6,6,4,8,Right-handed,On your right side,TRUE,0,3
First Year,Yes,Industrial Engineering & Operations Research,FALSE,3,FALSE,Yes,Yes,7/8,6,4,7,Right-handed,On your left side,FALSE,2,3
First Year,Yes,"Data Science, Economics",FALSE,4,FALSE,Yes,Yes,8/8,5,3,9,Right-handed,On your right side,TRUE,0,5
First Year,No,MEB,TRUE,1,TRUE,Yes,I don't know,9/16,3,4,5,Right-handed,On your left side,FALSE,12,3
First Year,No,"Data Science, Chemistry",FALSE,4,FALSE,Yes,Yes,10/4,7,10,9,Right-handed,On your back,TRUE,0,3
First Year,No,Chemistry,FALSE,5,FALSE,Yes,Yes,4/14,7,3,7,Right-handed,On your right side,TRUE,1,6
First Year,I don't know,Data Science,TRUE,1,TRUE,Yes,Yes,11/12,3,4,6,Right-handed,On your back,TRUE,0,1
First Year,No,Computer Science,FALSE,4,FALSE,Yes,Yes,2/18,4,8,6,Right-handed,On your right side,TRUE,0,7
First Year,I don't know,"Business, Economics",TRUE,1,FALSE,Yes,Yes,5/6,7,6,7,Right-handed,On your stomach,TRUE,0,5
First Year,Yes,Applied Math,FALSE,4,TRUE,Yes,No,11/15,4,4,8,Left-handed,On your back,TRUE,2,2
Second Year,No,"Data Science, ",FALSE,3,TRUE,Yes,Yes,3/16,7,7,7,Right-handed,On your right side,TRUE,2,2
Third Year,Yes,Mathematics,TRUE,5,TRUE,Maybe,Yes,10/26,5,1,8,Right-handed,On your right side,FALSE,1,3
First Year,Yes,Chemistry,TRUE,4,TRUE,Yes,Yes,4/10,5,3,7.5,Right-handed,On your right side,FALSE,4,3
First Year,No,Applied Math,FALSE,4,FALSE,Yes,No,7/7,4,2,7,Right-handed,On your back,FALSE,2,2
Third Year,I don't know,Molecular and Cell Biology,TRUE,1,FALSE,Yes,No,8/18,3,2,6,Right-handed,On your back,FALSE,0,2
First Year,Yes,Applied Math,TRUE,2,FALSE,Yes,No,4/12,4,7,8,Right-handed,On your left side,TRUE,2,2
First Year,I don't know,Architecture,TRUE,1,FALSE,Yes,Yes,12/24,2,1,8,Right-handed,On your right side,FALSE,2,3
First Year,Yes,Computer Science,FALSE,5,TRUE,Yes,Yes,6/24,6,5,7,Right-handed,On your right side,FALSE,0,7
First Year,No,ChemE,FALSE,3,FALSE,Yes,Yes,5/26,5,0,8,Right-handed,On your back,TRUE,0,1
First Year,No,Environmental economics and policy,TRUE,1,FALSE,Yes,Yes,5/9,8,3,8,Right-handed,On your right side,FALSE,3,4
First Year,Yes,microbial biology,TRUE,1,TRUE,Yes,Yes,5/11,7,5,7,Right-handed,On your right side,FALSE,2,2
First Year,Yes,Molecular and Cell Biology,FALSE,2,FALSE,Yes,No,4/27,5,7,6,Left-handed,On your back,FALSE,3,4
First Year,I don't know,Public Health,TRUE,1,FALSE,Yes,I don't know,6/4,5,3,8.5,Left-handed,On your left side,TRUE,2,3
Second Year,No,Media Studies,TRUE,1,TRUE,Yes,Yes,7/8,10,8,8,Right-handed,On your left side,FALSE,2,2
Third Year,Yes,Data Science,FALSE,5,FALSE,Yes,No,1/29,8,3,8,Left-handed,On your back,TRUE,4,7
First Year,No,Computer Science,FALSE,4,TRUE,Yes,Yes,3/19,7,15,8,Right-handed,On your right side,TRUE,0,3
First Year,Yes,Chemical Biology,TRUE,2,FALSE,Yes,Yes,7/2,4,5,6,Right-handed,On your right side,FALSE,1,2
Second Year,No,"English, Media Studies",TRUE,1,TRUE,Yes,Yes,12/26,7,10,8,Right-handed,On your left side,TRUE,4,2
Third Year,No,"Applied Math, Chemistry",FALSE,3,FALSE,Yes,No,10/20,4,1,7,Right-handed,On your left side,FALSE,0,2
Second Year,No,EECS,FALSE,5,FALSE,Yes,Yes,5/14,8,4,8,Right-handed,On your left side,FALSE,2,3
First Year,No,Environmental Economics and Policy,TRUE,1,TRUE,Yes,Yes,11/2,2,8,10,Right-handed,On your left side,FALSE,2,2
Fourth Year,Yes,"Data Science, Undecided",FALSE,3,FALSE,Yes,Yes,6/26,3,4,8,Right-handed,On your left side,FALSE,5,2
